Replica_set_1,,,,
Concurrency,Requests,Requests_per_second_(mean),Longest_request,98_percentile
50,10000,7058.55,12,52
100,10000,6234.63,23,35
500,10000,5118.94,1046,1254
1000,10000,3628.5,1883,2737
2000,10000,3546.28,1887,2793
5000,20000,2372.49,4442,8361
10000,30000,241.31,32473,112204
15000,45000,154.82,225065,245574
,,,,
Replica_set_3,,,,
Concurrency,Requests,Requests_per_second_(mean),Longest_request,98_percentile
50,10000,5775.97,24,40
100,10000,5899.84,53,94
500,10000,6170.74,205,1104
1000,10000,5889.36,1308,1578
2000,10000,3219.33,2108,3088
5000,20000,4160.24,3518,4792
10000,30000,3504.68,5190,8474
15000,45000,524.63,50831,62283
,,,,
Replica_set_6,,,,
Concurrency,Requests,Requests_per_second_(mean),Longest_request,98_percentile
50,10000,7277.42,31,50
100,10000,7711.52,45,84
500,10000,7671.51,128,1129
1000,10000,7363.21,1057,1232
2000,10000,7411.62,1183,1316
5000,20000,7173.11,1539,2126
10000,30000,4258.98,3916,6928
15000,45000,646.26,61950,62064
,,,,
Replica_set_9,,,,
Concurrency,Requests,Requests_per_second_(mean),Longest_request,98_percentile
50,10000,9328.19,31,84
100,10000,10184.92,52,101
500,10000,10667.19,152,234
1000,10000,10664.7,303,549
2000,10000,10251.16,371,679
5000,20000,9998.28,1352,1899
10000,30000,6360.84,1933,4519
15000,45000,540.7,57708,61893
,,,,
Replica_set_12,,,,
Concurrency,Requests,Requests_per_second_(mean),Longest_request,98_percentile
50,10000,9686.88,19,57
100,10000,9787.24,53,87
500,10000,12073.2,161,240
1000,10000,12208.01,197,336
2000,10000,10848.85,421,711
5000,20000,10696.21,1286,1508
10000,30000,9478.06,1653,2971
15000,45000,638.33,52064,57346
